distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
740.0,2.394,52650.0,10084.72,42565.28,0.8085,363.81,430,0.6500000000000001
740.0,2.394,56700.0,10084.72,46615.28,0.8221,369.96,430,0.7000000000000002
740.0,2.394,60750.0,10084.72,50665.28,0.834,375.3,430,0.7500000000000002
740.0,2.394,64800.0,10084.72,54715.28,0.8444,379.97,430,0.8000000000000003
740.0,2.394,68850.0,10084.72,58765.28,0.8535,384.09,430,0.8500000000000003
740.0,2.394,72900.0,10084.72,62815.28,0.8617,387.75,430,0.9000000000000004
740.0,2.394,76950.0,10084.72,66865.28,0.8689,391.03,430,0.9500000000000004
740.0,2.394,42300.0,10084.72,32215.28,0.7616,357.95,450,0.5
740.0,2.394,46530.0,10084.72,36445.28,0.7833,368.13,450,0.55
740.0,2.394,50760.0,10084.72,40675.28,0.8013,376.62,450,0.6000000000000001
740.0,2.394,54990.0,10084.72,44905.28,0.8166,383.81,450,0.6500000000000001
740.0,2.394,59220.0,10084.72,49135.28,0.8297,389.96,450,0.7000000000000002
740.0,2.394,63450.0,10084.72,53365.28,0.8411,395.3,450,0.7500000000000002
740.0,2.394,67680.0,10084.72,57595.28,0.851,399.97,450,0.8000000000000003
740.0,2.394,71910.0,10084.72,61825.28,0.8598,404.09,450,0.8500000000000003
740.0,2.394,76140.0,10084.72,66055.28,0.8676,407.75,450,0.9000000000000004
740.0,2.394,80370.0,10084.72,70285.28,0.8745,411.03,450,0.9500000000000004
740.0,2.394,44100.0,10084.72,34015.28,0.7713,377.95,470,0.5
740.0,2.394,48510.0,10084.72,38425.28,0.7921,388.13,470,0.55
740.0,2.394,52920.0,10084.72,42835.28,0.8094,396.62,470,0.6000000000000001
740.0,2.394,57330.0,10084.72,47245.28,0.8241,403.81,470,0.6500000000000001
740.0,2.394,61740.0,10084.72,51655.28,0.8367,409.96,470,0.7000000000000002
740.0,2.394,66150.0,10084.72,56065.28,0.8475,415.3,470,0.7500000000000002
740.0,2.394,70560.0,10084.72,60475.28,0.8571,419.97,470,0.8000000000000003
740.0,2.394,74970.0,10084.72,64885.28,0.8655,424.09,470,0.8500000000000003
740.0,2.394,79380.0,10084.72,69295.28,0.873,427.75,470,0.9000000000000004
740.0,2.394,83790.0,10084.72,73705.28,0.8796,431.03,470,0.9500000000000004
740.0,2.394,45900.0,10084.72,35815.28,0.7803,397.95,490,0.5
740.0,2.394,50490.0,10084.72,40405.28,0.8003,408.13,490,0.55
740.0,2.394,55080.0,10084.72,44995.28,0.8169,416.62,490,0.6000000000000001
740.0,2.394,59670.0,10084.72,49585.28,0.831,423.81,490,0.6500000000000001
740.0,2.394,64260.0,10084.72,54175.28,0.8431,429.96,490,0.7000000000000002
740.0,2.394,68850.0,10084.72,58765.28,0.8535,435.3,490,0.7500000000000002
740.0,2.394,73440.0,10084.72,63355.28,0.8627,439.97,490,0.8000000000000003
740.0,2.394,78030.0,10084.72,67945.28,0.8708,444.09,490,0.8500000000000003
740.0,2.394,82620.0,10084.72,72535.28,0.8779,447.75,490,0.9000000000000004
740.0,2.394,87210.0,10084.72,77125.28,0.8844,451.03,490,0.9500000000000004
